address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,cost_two_people,reviews_list,cuisines_count,service_type,city_location
"Address_874, Bangalore",KFC,No,Yes,3.8,2005,080-1914394,Indiranagar,Bakery,Biryani,"Chinese, Desserts, Mexican, Thai",600,Sample Review Text...,4,Delivery,Bengaluru
"Address_511, Bangalore",Resto_511,No,No,3.4,1731,080-2396415,MG Road,Bar,Dosa,"Desserts, North Indian",1500,Sample Review Text...,2,Buffet,Bengaluru
"Address_656, Bangalore",Empire Restaurant,Yes,No,4.7,1177,080-4996784,unknown,Bakery,Pasta,"Beverages, Chinese, Continental, Fast Food, Italian",2000,Sample Review Text...,5,Delivery,Bengaluru
"Address_96, Bangalore",Pizza Hut,Yes,Yes,3.2,2101,080-4959345,Jayanagar,Casual Dining,Sushi,"Desserts, Fast Food",200,Sample Review Text...,2,Drinks & nightlife,Bengaluru
"Address_759, Bangalore",Resto_759,Yes,Yes,4.7,665,080-5449004,Koramangala,Bakery,Sushi,"Continental, Mexican",1200,Sample Review Text...,2,Delivery,Bengaluru
"Address_109, Bangalore",Resto_109,No,No,2.8,2552,080-6688907,Indiranagar,Cafe,Sushi,Mexican,1200,Sample Review Text...,1,Dine-out,Bengaluru
"Address_708, Bangalore",Pizza Hut,No,No,3.2,164,080-1479076,HSR Layout,Bar,Pasta,"Beverages, Chinese, Desserts, Mexican, South Indian",3000,Sample Review Text...,5,Buffet,Bengaluru
"Address_758, Bangalore",Resto_758,Yes,Yes,2.4,637,080-7960470,Jayanagar,Fine Dining,Pasta,"Fast Food, Italian, Mexican, North Indian",1000,Sample Review Text...,4,Cafes,Bengaluru
"Address_963, Bangalore",Pizza Hut,No,No,3.5,1760,080-9799517,Jayanagar,Bakery,Dosa,"Beverages, Chinese, Continental, Desserts, Italian",600,Sample Review Text...,5,Drinks & nightlife,Bengaluru
"Address_435, Bangalore",Empire Restaurant,No,Yes,3.5,2686,080-7626953,Marathahalli,Bakery,Dosa,"Beverages, Continental, Desserts, Fast Food",3000,Sample Review Text...,4,Delivery,Bengaluru
"Address_642, Bangalore",Resto_642,No,Yes,3.5,298,080-8541520,Marathahalli,Bar,Steak,"Fast Food, North Indian, South Indian",1200,Sample Review Text...,3,Dine-out,Bengaluru
"Address_745, Bangalore",Burger King,Yes,No,4.3,1871,080-1397267,Whitefield,Casual Dining,Sushi,"Continental, Italian",1000,Sample Review Text...,2,Cafes,Bengaluru
"Address_867, Bangalore",Burger King,No,Yes,3.2,1768,080-4770193,Koramangala,Bar,Pasta,"Italian, Mexican, North Indian",1200,Sample Review Text...,3,Cafes,Bengaluru
